epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.80667,3.69608,4.66187,2.13652,0.00039,0.06667,0.00027,8e-05,4.25939,7.03954,3.27772,2e-05,2e-05,2e-05
2,5.9224,1.62413,6.01969,1.03359,0.00059,0.1,0.00038,0.00016,4.20841,5.94685,3.02212,5.9703e-05,5.9703e-05,5.9703e-05
3,6.99954,2.63061,3.79375,2.12617,0.00078,0.13333,0.00063,0.00033,3.53924,5.20747,2.63915,9.901e-05,9.901e-05,9.901e-05
4,7.94967,3.7811,5.42595,2.92662,0.00059,0.1,0.00049,0.00015,3.17098,5.27138,2.59582,0.000137921,0.000137921,0.000137921
5,8.97669,4.05708,4.0266,2.0678,0.00039,0.06667,0.00036,0.00016,3.63478,5.12526,2.82949,0.000176436,0.000176436,0.000176436
6,9.94399,4.049,3.87915,1.97611,0.00098,0.16667,0.0007,0.00018,3.4578,4.82265,2.83163,0.000214555,0.000214555,0.000214555
7,10.9471,3.48908,5.07472,2.03433,0.00157,0.26667,0.00103,0.00026,3.10889,4.67014,2.82399,0.000252278,0.000252278,0.000252278
8,11.9901,2.87248,3.80662,1.87143,0.00059,0.1,0.00033,0.00014,3.30757,4.47796,2.83874,0.000289605,0.000289605,0.000289605
9,13.0082,3.3717,3.77507,2.57089,0.00039,0.06667,0.00022,0.00011,3.44265,4.43183,2.8444,0.000326536,0.000326536,0.000326536
10,14.0039,3.06034,4.09616,2.01288,0.00059,0.1,0.00034,0.00012,3.56938,4.43373,2.84115,0.000363071,0.000363071,0.000363071
11,15.4979,1.43836,5.39638,0.89303,0.00059,0.1,0.00037,0.00014,3.62237,4.41964,2.82182,0.00039921,0.00039921,0.00039921
12,17.717,2.49045,3.3266,1.98858,0.00059,0.1,0.00049,0.00018,3.64419,4.41028,2.80584,0.000434953,0.000434953,0.000434953
13,18.7637,3.41973,4.76528,2.84688,0.00059,0.1,0.00046,0.00018,3.5977,4.40008,2.77326,0.0004703,0.0004703,0.0004703
14,19.8132,2.10787,2.59448,1.50778,0.00059,0.1,0.00042,0.00017,3.50979,4.43005,2.72323,0.000505251,0.000505251,0.000505251
15,20.8035,2.16057,3.62507,1.66384,0.00078,0.13333,0.00049,0.0002,3.38022,4.37673,2.63825,0.000539806,0.000539806,0.000539806
16,21.8015,2.95741,3.32139,1.97249,0.00078,0.13333,0.0005,0.00019,3.37241,4.46942,2.58991,0.000573965,0.000573965,0.000573965
17,22.7251,1.2445,5.4138,0.8913,0.00118,0.2,0.00099,0.00034,3.30826,4.44184,2.47496,0.000607728,0.000607728,0.000607728
18,23.7903,2.61748,2.81978,1.57373,0.00098,0.16667,0.00106,0.00031,3.37201,4.54835,2.5114,0.000641095,0.000641095,0.000641095
19,24.8336,1.76297,2.83506,1.56501,0.00098,0.16667,0.00146,0.00044,3.39045,4.50065,2.52867,0.000674066,0.000674066,0.000674066
20,25.853,2.17326,3.60066,1.65102,0.00098,0.16667,0.00171,0.00038,3.37667,4.47999,2.53551,0.000706641,0.000706641,0.000706641
21,26.9571,2.16877,3.15995,1.56975,0.00078,0.13333,0.00145,0.00036,3.40241,4.53349,2.53133,0.00073882,0.00073882,0.00073882
22,28.4426,2.49139,2.2734,1.37263,0.00078,0.13333,0.00101,0.00034,3.37977,4.53644,2.50966,0.000770603,0.000770603,0.000770603
23,30.1056,2.30553,2.53059,1.59856,0.00098,0.16667,0.00279,0.00072,3.23657,4.29433,2.37935,0.00080199,0.00080199,0.00080199
24,31.1579,2.37496,2.69284,1.26972,0.00235,0.4,0.01837,0.00305,3.03202,3.9088,2.19748,0.000832981,0.000832981,0.000832981
25,32.2008,2.99424,3.87055,1.41779,0.11507,0.13333,0.05123,0.00876,2.84338,3.66984,2.00182,0.000863576,0.000863576,0.000863576
26,33.327,2.45875,3.07873,1.84488,0.14072,0.13333,0.05149,0.01099,2.70278,3.62722,1.91685,0.000893775,0.000893775,0.000893775
27,34.3148,1.97482,2.86633,1.53606,0.14835,0.1,0.05572,0.01725,2.67542,3.59258,1.85605,0.000923578,0.000923578,0.000923578
28,35.3053,2.16943,2.35567,1.50065,0.14835,0.1,0.05572,0.01725,2.67542,3.59258,1.85605,0.000952985,0.000952985,0.000952985
29,36.3172,3.70292,5.08021,1.3388,0.15595,0.13333,0.05197,0.01261,2.78653,3.5734,1.84484,0.000981996,0.000981996,0.000981996
30,37.4131,2.82243,4.43376,1.22716,0.13692,0.16667,0.05748,0.01008,2.90434,3.50883,1.85411,0.00101061,0.00101061,0.00101061
31,38.4437,1.86551,2.43384,1.44316,0.13692,0.16667,0.05748,0.01008,2.90434,3.50883,1.85411,0.00103883,0.00103883,0.00103883
32,39.4403,1.94142,2.62528,1.44151,0.17548,0.16667,0.07003,0.01079,2.98788,3.46888,1.9,0.00106665,0.00106665,0.00106665
33,40.663,2.32161,2.25697,1.34776,0.32853,0.16331,0.08368,0.01336,2.95925,3.42602,1.91438,0.00109408,0.00109408,0.00109408
34,42.2713,2.29395,2.79862,1.61949,0.32853,0.16331,0.08368,0.01336,2.95925,3.42602,1.91438,0.00112111,0.00112111,0.00112111
35,43.5877,2.53552,2.83691,2.02923,0.40779,0.16667,0.20413,0.04086,2.57794,3.21787,1.80068,0.00114775,0.00114775,0.00114775
36,44.6127,1.82929,2.35329,1.33773,0.36794,0.3,0.37714,0.1229,2.11149,2.66916,1.62333,0.00117399,0.00117399,0.00117399
37,45.5775,1.62348,2.96191,1.51616,0.36794,0.3,0.37714,0.1229,2.11149,2.66916,1.62333,0.00119983,0.00119983,0.00119983
38,46.6758,1.97341,2.55428,1.24291,0.29869,0.46667,0.3851,0.15651,1.94741,2.37492,1.51269,0.00122528,0.00122528,0.00122528
39,47.8027,1.97747,2.11788,1.19516,0.35242,0.53333,0.41879,0.18903,1.85717,2.29411,1.43856,0.00125033,0.00125033,0.00125033
40,48.818,1.80144,2.35291,1.33452,0.35242,0.53333,0.41879,0.18903,1.85717,2.29411,1.43856,0.00127498,0.00127498,0.00127498
41,49.842,2.44881,3.23504,1.65276,0.41259,0.63333,0.45434,0.18454,1.80464,2.24914,1.39292,0.00129924,0.00129924,0.00129924
42,50.8223,0.94895,4.56296,0.66633,0.30819,0.53333,0.36106,0.125,1.86258,2.47551,1.39639,0.0013231,0.0013231,0.0013231
43,51.793,2.43291,3.02113,1.67064,0.30819,0.53333,0.36106,0.125,1.86258,2.47551,1.39639,0.00134657,0.00134657,0.00134657
